Employee ID,Termination Date
8884,8/9/2019
8893,3/27/2020
8903,12/1/2020
8944,2/16/2021
8969,12/17/2018
8984,8/6/2019
8985,6/26/2019
9006,8/10/2018
9022,1/30/2019
9023,2/12/2021
9027,12/1/2020
9077,5/28/2020
9087,3/31/2017
9120,10/20/2017
9131,1/5/2018
9149,12/1/2020
9150,8/17/2018
9188,8/29/2019
9207,12/31/2020
9210,2/12/2021
9227,2/2/2018
9244,9/28/2018
9252,11/8/2019
9262,11/6/2020
9263,12/1/2020
9328,3/29/2021
9331,12/4/2018
9332,12/1/2020
9336,6/18/2020
9344,7/10/2019
9360,2/1/2018
9382,8/9/2019
9392,1/10/2020
9480,4/2/2021
9500,2/1/2019
9560,8/9/2019
9568,5/8/2020
9575,12/1/2020
9591,8/1/2018
9595,7/24/2019
9666,11/18/2020
9682,2/23/2018
9713,3/16/2021
9715,7/1/2019
9730,12/1/2020
9770,8/27/2020
9792,9/27/2019
9797,6/29/2018
9798,9/7/2018
9830,4/26/2019
9860,4/29/2021
9881,3/8/2019
9901,12/1/2020
9918,10/2/2020
9933,1/17/2018
9940,3/5/2021
9954,5/4/2018
9978,12/18/2020
9996,7/20/2018
